,Date,Time,Ticker,Volume,Open,High,Low,Close,EMA_15,signal,ATMSP
0,2022-01-03,09:45:00,NIFTY-I.NFO,403650,17496.75,17529.0,17494.4,17527.1,17506.8875,Buy,17500
1,2022-01-03,15:00:00,NIFTY-I.NFO,667150,17664.5,17680.0,17656.0,17677.2,17630.02489858407,Sell,0
2,2022-01-04,15:00:00,NIFTY-I.NFO,373300,17821.3,17838.05,17819.9,17836.75,17775.124944427873,Sell,0
3,2022-01-06,12:45:00,NIFTY-I.NFO,357550,17734.8,17762.3,17727.0,17758.95,17758.20702439657,Buy,17800
4,2022-01-06,13:30:00,NIFTY-I.NFO,505500,17743.0,17809.0,17742.75,17783.15,17758.926776109423,Buy,17800
5,2022-01-06,13:45:00,NIFTY-I.NFO,302900,17784.0,17793.65,17740.05,17751.0,17757.935929095744,Sell,0
6,2022-01-06,15:00:00,NIFTY-I.NFO,444200,17800.3,17815.3,17772.05,17780.1,17777.753984384522,Sell,0
7,2022-01-07,11:45:00,NIFTY-I.NFO,637000,17873.1,17874.35,17808.15,17833.1,17861.74110560635,Sell,0
8,2022-01-07,15:00:00,NIFTY-I.NFO,619250,17808.0,17860.0,17808.0,17854.0,17822.950841080958,Sell,0
9,2022-01-11,10:15:00,NIFTY-I.NFO,330700,18021.65,18050.0,17995.25,18038.6,18024.31736469864,Buy,18000
10,2022-01-11,14:30:00,NIFTY-I.NFO,560850,18097.05,18101.05,18033.5,18059.85,18079.98325155128,Sell,0
11,2022-01-11,15:00:00,NIFTY-I.NFO,359000,18067.25,18097.95,18065.55,18085.6,18079.598895718947,Sell,0
12,2022-01-12,14:15:00,NIFTY-I.NFO,101150,18205.0,18216.6,18195.0,18210.0,18206.73360410066,Buy,18200
13,2022-01-12,15:00:00,NIFTY-I.NFO,462600,18241.2,18254.9,18240.7,18242.35,18217.10005118462,Sell,0
14,2022-01-13,10:30:00,NIFTY-I.NFO,359550,18239.3,18239.3,18197.4,18215.55,18236.126750014373,Sell,0
15,2022-01-13,10:45:00,NIFTY-I.NFO,316000,18215.45,18253.95,18213.15,18244.3,18237.148406262575,Buy,18200
16,2022-01-13,12:45:00,NIFTY-I.NFO,124900,18260.0,18266.25,18242.75,18251.0,18252.706254271914,Sell,0
17,2022-01-13,13:30:00,NIFTY-I.NFO,135950,18229.1,18260.0,18227.0,18260.0,18250.408584404817,Buy,18300
18,2022-01-13,15:00:00,NIFTY-I.NFO,491000,18254.15,18295.8,18254.0,18295.75,18258.798440729683,Sell,0
19,2022-01-14,12:15:00,NIFTY-I.NFO,99700,18220.4,18227.2,18208.7,18223.0,18221.52560025368,Buy,18200
20,2022-01-14,15:00:00,NIFTY-I.NFO,582650,18289.0,18320.0,18289.0,18296.5,18257.048722110223,Sell,0
21,2022-01-17,13:45:00,NIFTY-I.NFO,227350,18293.75,18324.2,18285.9,18324.0,18308.992816559425,Buy,18300
22,2022-01-17,15:00:00,NIFTY-I.NFO,199550,18339.65,18346.75,18326.4,18334.0,18321.60472619367,Sell,0
23,2022-01-18,13:45:00,NIFTY-I.NFO,319150,18295.3,18297.4,18269.5,18274.9,18287.23951946963,Sell,0
24,2022-01-18,14:15:00,NIFTY-I.NFO,187350,18294.25,18294.85,18255.0,18262.95,18284.745882093936,Sell,0
25,2022-01-18,15:00:00,NIFTY-I.NFO,910750,18155.0,18158.3,18100.0,18109.95,18242.8180421059,Sell,0
26,2022-01-19,14:30:00,NIFTY-I.NFO,405650,17949.0,17988.0,17940.0,17981.55,17973.190800150278,Buy,18000
27,2022-01-19,15:00:00,NIFTY-I.NFO,413000,17962.35,17986.0,17958.8,17980.0,17972.85623761506,Sell,0
28,2022-01-20,15:00:00,NIFTY-I.NFO,821450,17776.0,17814.5,17774.25,17813.15,17789.48812318801,Sell,0
29,2022-01-21,12:00:00,NIFTY-I.NFO,224250,17647.95,17665.1,17631.0,17664.3,17663.755845610543,Buy,17700
30,2022-01-21,13:15:00,NIFTY-I.NFO,602000,17714.0,17719.9,17627.65,17631.2,17667.67945395436,Sell,0
31,2022-01-21,15:00:00,NIFTY-I.NFO,969900,17517.0,17644.4,17516.15,17622.5,17618.485138677563,Sell,0
32,2022-01-24,15:00:00,NIFTY-I.NFO,962500,17108.55,17199.0,17108.55,17188.25,17206.265452168525,Sell,0
33,2022-01-25,09:45:00,NIFTY-I.NFO,636300,17113.25,17174.9,17075.05,17171.05,17154.107748553353,Buy,17200
34,2022-01-25,10:00:00,NIFTY-I.NFO,758650,17171.7,17195.0,17034.05,17077.25,17144.500529984183,Sell,0
35,2022-01-25,11:15:00,NIFTY-I.NFO,409200,17086.3,17126.75,17071.45,17112.35,17107.947671735965,Buy,17100
36,2022-01-25,12:15:00,NIFTY-I.NFO,201250,17087.45,17116.0,17079.3,17104.65,17100.790261190934,Buy,17100
37,2022-01-25,12:30:00,NIFTY-I.NFO,318500,17104.65,17125.0,17076.1,17090.95,17099.56022854207,Sell,0
38,2022-01-25,13:00:00,NIFTY-I.NFO,851500,17064.05,17144.0,17059.55,17138.15,17100.75158122752,Buy,17100
39,2022-01-25,15:00:00,NIFTY-I.NFO,426350,17264.35,17296.7,17261.0,17295.0,17184.42212803435,Sell,0
40,2022-01-27,13:00:00,NIFTY-I.NFO,424150,16920.35,17014.45,16919.95,17008.7,16974.527633306545,Buy,17000
41,2022-01-27,15:00:00,NIFTY-I.NFO,511250,17093.8,17119.0,17036.5,17112.85,17054.764818561864,Sell,0
42,2022-01-28,15:00:00,NIFTY-I.NFO,826100,17164.9,17188.0,17095.2,17114.05,17236.635158240064,Sell,0
43,2022-01-31,09:30:00,NIFTY-I.NFO,663650,17322.65,17367.65,17305.25,17360.0,17242.256119368747,Buy,17400
44,2022-01-31,14:00:00,NIFTY-I.NFO,375900,17354.45,17411.15,17341.0,17397.2,17367.49338960094,Buy,17400
45,2022-01-31,15:00:00,NIFTY-I.NFO,586750,17400.0,17404.5,17352.1,17357.0,17374.999933699182,Sell,0
